"VARY   1
R0101   
PARAM   
PRES    

ATM     
","VARY   2
R0101   
PARAM   
TEMP    

C       
","MASSFRA 





"
0.5,200,0.988335219
0.5,210,0.985689997
0.5,220,0.982595112
0.5,230,0.979002118
0.5,240,0.974861515
0.5,250,0.970123297
0.5,260,0.964737572
0.5,270,0.958655239
0.5,280,0.951828724
0.5,290,0.944212768
0.5,300,0.93576525
0.5,310,0.926448051
0.5,320,0.916227933
0.5,330,0.905077424
0.5,340,0.892975688
0.5,350,0.87990936
0.5,360,0.865873326
0.5,370,0.850871415
0.5,380,0.834916977
0.5,390,0.81803332
0.5,400,0.800253977
1,200,0.990737506
1,210,0.988633388
1,220,0.986169981
1,230,0.983307932
1,240,0.980006782
1,250,0.976225352
1,260,0.971922171
1,270,0.967055942
1,280,0.961586051
1,290,0.955473108
1,300,0.948679525
1,310,0.941170109
1,320,0.932912682
1,330,0.923878707
1,340,0.914043918
1,350,0.903388932
1,360,0.891899852
1,370,0.879568818
1,380,0.866394518
1,390,0.852382625
1,400,0.837546149
1.5,200,0.991909929
1.5,210,0.990070372
1.5,220,0.987915982
1.5,230,0.985411994
1.5,240,0.982522567
1.5,250,0.979211095
1.5,260,0.975440549
1.5,270,0.971173858
1.5,280,0.966374323
1.5,290,0.961006048
1.5,300,0.955034411
1.5,310,0.948426541
1.5,320,0.941151826
1.5,330,0.933182416
1.5,340,0.924493741
1.5,350,0.915065021
1.5,360,0.90487976
1.5,370,0.893926225
1.5,380,0.882197886
1.5,390,0.869693818
1.5,400,0.856419038
2,200,0.992652632
2,210,0.990980794
2,220,0.989022389
2,230,0.986745609
2,240,0.984117607
2,250,0.981104755
2,260,0.977672953
2,270,0.973787947
2,280,0.969415688
2,290,0.964522706
2,300,0.959076512
2,310,0.953046014
2,320,0.946401947
2,330,0.939117313
2,340,0.931167829
2,350,0.922532369
2,360,0.913193396
2,370,0.903137388
2,380,0.892355227
2,390,0.880842571
2,400,0.86860017
2.5,200,0.993182796
2.5,210,0.99163072
2.5,220,0.989812296
2.5,230,0.987697853
2.5,240,0.985256706
2.5,250,0.982457398
2.5,260,0.979267967
2.5,270,0.975656235
2.5,280,0.971590126
2.5,290,0.967038
2.5,300,0.961969013
2.5,310,0.956353483
2.5,320,0.950163278
2.5,330,0.943372208
2.5,340,0.935956422
2.5,350,0.927894807
2.5,360,0.919169378
2.5,370,0.909765657
2.5,380,0.899673039
2.5,390,0.888885123
2.5,400,0.877400015
3,200,0.993588464
3,210,0.992128037
3,220,0.990416755
3,230,0.98842659
3,240,0.986128531
3,250,0.983492801
3,260,0.980489104
3,270,0.977086885
3,280,0.973255623
3,290,0.968965133
3,300,0.964185894
3,310,0.958889386
3,320,0.953048438
3,330,0.946637589
3,340,0.939633448
3,350,0.932015061
3,360,0.923764264
3,370,0.914866039
3,380,0.905308841
3,390,0.895084917
3,400,0.884190591
